filepath,category,native_defect_label,coarse_label,split
data/defect_images/raw/screw/train/good/129-12.png,screw,good,good,train
data/defect_images/raw/screw/train/good/090-12.png,screw,good,good,train
data/defect_images/raw/cable/test/good/044-12.png,cable,good,good,train
data/defect_images/raw/cable/train/good/062-10.png,cable,good,good,train
data/defect_images/raw/screw/train/good/176-12.png,screw,good,good,train
data/defect_images/raw/metal_nut/test/color/005-22.png,metal_nut,color,contamination,train
data/defect_images/raw/screw/test/scratch_head/023-28.png,screw,scratch_head,scratch,train
data/defect_images/raw/cable/train/good/112-10.png,cable,good,good,train
data/defect_images/raw/screw/test/thread_side/002-88.png,screw,thread_side,structural_damage,train
data/defect_images/raw/transistor/train/good/000.png,transistor,good,good,train
data/defect_images/raw/cable/test/cut_inner_insulation/008-73.png,cable,cut_inner_insulation,structural_damage,train
data/defect_images/raw/transistor/train/good/192.png,transistor,good,good,train
data/defect_images/raw/screw/train/good/290-2.png,screw,good,good,train
data/defect_images/raw/cable/train/good/209-10.png,cable,good,good,train
data/defect_images/raw/metal_nut/train/good/113-4.png,metal_nut,good,good,train
data/defect_images/raw/screw/train/good/131-12.png,screw,good,good,train
data/defect_images/raw/transistor/train/good/052.png,transistor,good,good,train
data/defect_images/raw/cable/test/poke_insulation/008-70.png,cable,poke_insulation,structural_damage,train
data/defect_images/raw/metal_nut/train/good/036-5.png,metal_nut,good,good,train
data/defect_images/raw/transistor/test/good/040-2.png,transistor,good,good,train
data/defect_images/raw/screw/train/good/086-12.png,screw,good,good,train
data/defect_images/raw/screw/train/good/020-35.png,screw,good,good,train
data/defect_images/raw/screw/test/scratch_head/018-49.png,screw,scratch_head,scratch,train
data/defect_images/raw/screw/test/manipulated_front/002-85.png,screw,manipulated_front,other_defect,train
data/defect_images/raw/screw/test/manipulated_front/005-85.png,screw,manipulated_front,other_defect,train
data/defect_images/raw/transistor/test/good/025-2.png,transistor,good,good,train
data/defect_images/raw/transistor/train/good/099.png,transistor,good,good,train
data/defect_images/raw/screw/test/scratch_neck/001-84.png,screw,scratch_neck,scratch,train
data/defect_images/raw/metal_nut/train/good/204-4.png,metal_nut,good,good,train
data/defect_images/raw/screw/train/good/236-7.png,screw,good,good,train
data/defect_images/raw/cable/train/good/074-10.png,cable,good,good,train
data/defect_images/raw/screw/test/good/015-68.png,screw,good,good,train
data/defect_images/raw/metal_nut/test/flip/007-23.png,metal_nut,flip,deformation,train
data/defect_images/raw/transistor/test/good/000-6.png,transistor,good,good,train
data/defect_images/raw/metal_nut/test/color/001-22.png,metal_nut,color,contamination,train
data/defect_images/raw/cable/train/good/055-11.png,cable,good,good,train
data/defect_images/raw/cable/test/good/056-12.png,cable,good,good,train
data/defect_images/raw/screw/train/good/089-12.png,screw,good,good,train
data/defect_images/raw/transistor/test/good/020-2.png,transistor,good,good,train
data/defect_images/raw/cable/test/good/006-69.png,cable,good,good,train
data/defect_images/raw/metal_nut/test/good/009-24.png,metal_nut,good,good,train
data/defect_images/raw/cable/test/poke_insulation/002-71.png,cable,poke_insulation,structural_damage,train
data/defect_images/raw/screw/train/good/040-14.png,screw,good,good,train
data/defect_images/raw/cable/train/good/065-10.png,cable,good,good,train
data/defect_images/raw/metal_nut/test/bent/012-18.png,metal_nut,bent,deformation,train
data/defect_images/raw/cable/test/good/055-12.png,cable,good,good,train
data/defect_images/raw/screw/train/good/145-12.png,screw,good,good,train
data/defect_images/raw/cable/train/good/121-10.png,cable,good,good,train
data/defect_images/raw/cable/test/good/004-69.png,cable,good,good,train
data/defect_images/raw/cable/train/good/143-10.png,cable,good,good,train
data/defect_images/raw/metal_nut/train/good/118-4.png,metal_nut,good,good,train
data/defect_images/raw/screw/test/manipulated_front/020-38.png,screw,manipulated_front,other_defect,train
data/defect_images/raw/screw/test/scratch_head/017-55.png,screw,scratch_head,scratch,train
data/defect_images/raw/transistor/train/good/022.png,transistor,good,good,train
data/defect_images/raw/cable/train/good/169-10.png,cable,good,good,train
